application_id,verification_id,verification_timestamp,method,outcome,performed_by
APP-2024-0021,IDV-0021-1,2024-01-18 16:14:00,drivers_license,verified,system
APP-2024-0022,IDV-0022-1,2024-01-18 20:20:00,national_id,verified,system
APP-2024-0023,IDV-0023-1,2024-01-21 18:27:00,drivers_license,verified,system
APP-2024-0024,IDV-0024-1,2024-01-18 05:24:00,passport,verified,system
APP-2024-0025,IDV-0025-1,2024-01-23 08:20:00,national_id,verified,system
APP-2024-0026,IDV-0026-1,2024-01-22 15:30:00,drivers_license,verified,system
APP-2024-0027,IDV-0027-1,2024-01-20 18:28:00,drivers_license,verified,system
APP-2024-0028,IDV-0028-1,2024-01-19 20:16:00,drivers_license,verified,system
APP-2024-0029,IDV-0029-1,2024-01-24 16:16:00,drivers_license,verified,system
APP-2024-0030,IDV-0030-1,2024-01-20 04:22:00,national_id,retry_required,system
APP-2024-0030,IDV-0030-2,2024-01-21 04:22:00,passport,verified,compliance_officer
APP-2024-0031,IDV-0031-1,2024-01-21 14:23:00,national_id,verified,system
APP-2024-0032,IDV-0032-1,2024-01-21 19:09:00,national_id,verified,system
APP-2024-0033,IDV-0033-1,2024-01-19 08:08:00,passport,verified,system
APP-2024-0034,IDV-0034-1,2024-01-18 02:06:00,passport,verified,system
APP-2024-0035,IDV-0035-1,2024-01-23 20:25:00,passport,retry_required,system
APP-2024-0035,IDV-0035-2,2024-01-24 15:25:00,national_id,verified,compliance_officer
APP-2024-0036,IDV-0036-1,2024-01-18 06:11:00,national_id,verified,system
APP-2024-0037,IDV-0037-1,2024-01-21 08:10:00,drivers_license,verified,system
APP-2024-0038,IDV-0038-1,2024-01-23 01:23:00,national_id,verified,system
APP-2024-0039,IDV-0039-1,2024-01-26 10:12:00,national_id,verified,system
APP-2024-0040,IDV-0040-1,2024-01-21 20:10:00,national_id,verified,system
APP-2024-0041,IDV-0041-1,2024-01-22 00:10:00,drivers_license,retry_required,system
APP-2024-0041,IDV-0041-2,2024-01-22 11:10:00,passport,verified,compliance_officer
APP-2024-0042,IDV-0042-1,2024-01-22 04:24:00,national_id,verified,system
APP-2024-0043,IDV-0043-1,2024-01-20 14:27:00,drivers_license,verified,system
APP-2024-0044,IDV-0044-1,2024-01-26 02:16:00,national_id,verified,system
APP-2024-0045,IDV-0045-1,2024-01-19 00:09:00,passport,retry_required,system
APP-2024-0045,IDV-0045-2,2024-01-19 16:09:00,passport,verified,compliance_officer
APP-2024-0046,IDV-0046-1,2024-01-20 23:23:00,passport,retry_required,system
APP-2024-0046,IDV-0046-2,2024-01-21 08:23:00,passport,verified,compliance_officer
APP-2024-0047,IDV-0047-1,2024-01-19 04:30:00,national_id,verified,system
APP-2024-0048,IDV-0048-1,2024-01-25 03:26:00,drivers_license,retry_required,system
APP-2024-0048,IDV-0048-2,2024-01-25 12:26:00,drivers_license,verified,compliance_officer
APP-2024-0049,IDV-0049-1,2024-01-19 08:09:00,passport,verified,system
APP-2024-0050,IDV-0050-1,2024-01-29 15:23:00,drivers_license,verified,system
APP-2024-0051,IDV-0051-1,2024-01-29 22:09:00,national_id,verified,system
APP-2024-0052,IDV-0052-1,2024-01-25 23:09:00,drivers_license,verified,system
APP-2024-0053,IDV-0053-1,2024-01-21 20:20:00,national_id,verified,system
APP-2024-0054,IDV-0054-1,2024-01-30 19:28:00,national_id,verified,system
APP-2024-0055,IDV-0055-1,2024-01-31 02:25:00,passport,verified,system
APP-2024-0056,IDV-0056-1,2024-01-31 09:22:00,drivers_license,verified,system
APP-2024-0057,IDV-0057-1,2024-01-27 00:05:00,drivers_license,verified,system
APP-2024-0058,IDV-0058-1,2024-01-31 23:18:00,drivers_license,verified,system
APP-2024-0059,IDV-0059-1,2024-01-25 00:12:00,national_id,verified,system
APP-2024-0060,IDV-0060-1,2024-01-30 02:10:00,drivers_license,verified,system
APP-2024-0061,IDV-0061-1,2024-01-27 20:18:00,national_id,verified,system
APP-2024-0062,IDV-0062-1,2024-02-02 03:04:00,drivers_license,verified,system
APP-2024-0063,IDV-0063-1,2024-01-20 12:10:00,drivers_license,verified,system
APP-2024-0064,IDV-0064-1,2024-01-31 02:09:00,passport,verified,system
APP-2024-0065,IDV-0065-1,2024-01-28 16:08:00,drivers_license,verified,system
APP-2024-0066,IDV-0066-1,2024-02-06 00:20:00,national_id,retry_required,system
APP-2024-0066,IDV-0066-2,2024-02-06 19:20:00,passport,verified,compliance_officer
APP-2024-0067,IDV-0067-1,2024-01-29 02:15:00,national_id,retry_required,system
APP-2024-0067,IDV-0067-2,2024-01-29 13:15:00,national_id,verified,compliance_officer
APP-2024-0068,IDV-0068-1,2024-02-01 02:16:00,national_id,verified,system
APP-2024-0069,IDV-0069-1,2024-02-01 08:21:00,drivers_license,verified,system
APP-2024-0070,IDV-0070-1,2024-02-01 14:05:00,passport,verified,system
APP-2024-0071,IDV-0071-1,2024-01-27 00:27:00,passport,verified,system
APP-2024-0072,IDV-0072-1,2024-02-02 02:23:00,passport,retry_required,system
APP-2024-0072,IDV-0072-2,2024-02-02 06:23:00,national_id,verified,compliance_officer
APP-2024-0073,IDV-0073-1,2024-02-02 08:24:00,national_id,verified,system
APP-2024-0074,IDV-0074-1,2024-02-02 14:19:00,national_id,verified,system
APP-2024-0075,IDV-0075-1,2024-01-21 12:26:00,drivers_license,retry_required,system
APP-2024-0075,IDV-0075-2,2024-01-21 19:26:00,passport,verified,compliance_officer
APP-2024-0076,IDV-0076-1,2024-01-27 20:24:00,national_id,verified,system
APP-2024-0077,IDV-0077-1,2024-02-03 08:09:00,passport,verified,system
APP-2024-0078,IDV-0078-1,2024-02-06 19:15:00,passport,verified,system
APP-2024-0079,IDV-0079-1,2024-02-10 08:20:00,drivers_license,verified,system
APP-2024-0080,IDV-0080-1,2024-02-10 16:29:00,national_id,verified,system
APP-2024-0081,IDV-0081-1,2024-02-11 00:28:00,drivers_license,verified,system
APP-2024-0082,IDV-0082-1,2024-02-11 08:12:00,passport,verified,system
APP-2024-0083,IDV-0083-1,2024-02-11 16:16:00,national_id,verified,system
APP-2024-0084,IDV-0084-1,2024-02-12 00:30:00,drivers_license,verified,system
APP-2024-0085,IDV-0085-1,2024-02-01 20:30:00,passport,verified,system
APP-2024-0086,IDV-0086-1,2024-01-29 12:04:00,passport,verified,system
APP-2024-0087,IDV-0087-1,2024-02-05 20:20:00,drivers_license,verified,system
APP-2024-0088,IDV-0088-1,2024-02-06 02:23:00,drivers_license,verified,system
APP-2024-0089,IDV-0089-1,2024-02-13 16:25:00,drivers_license,verified,system
APP-2024-0090,IDV-0090-1,2024-01-30 04:28:00,national_id,verified,system
APP-2024-0091,IDV-0091-1,2024-02-03 02:03:00,national_id,verified,system
APP-2024-0092,IDV-0092-1,2024-02-14 16:23:00,passport,verified,system
APP-2024-0093,IDV-0093-1,2024-01-30 16:08:00,drivers_license,verified,system
APP-2024-0094,IDV-0094-1,2024-02-03 17:02:00,passport,verified,system
APP-2024-0095,IDV-0095-1,2024-01-23 04:29:00,drivers_license,verified,system
APP-2024-0096,IDV-0096-1,2024-01-31 04:11:00,drivers_license,verified,system
APP-2024-0097,IDV-0097-1,2024-01-27 08:08:00,passport,verified,system
APP-2024-0098,IDV-0098-1,2024-02-08 14:18:00,drivers_license,verified,system
APP-2024-0099,IDV-0099-1,2024-02-04 18:25:00,drivers_license,verified,system
APP-2024-0100,IDV-0100-1,2024-01-23 14:22:00,passport,verified,system
